CRICOS Provider Code,Trading Name,Institution Name,Institution Type,Institution Capacity,Website,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Line 4,Postal Address City,Postal Address State,Postal Address Postcode
03430J,Australia Institute of Business and Technology,Brighton Pacific Pty Ltd,Private,"3,784",http://aibt.qld.edu.au/,"Level 3, 18 Mount Gravatt-Capalaba Road",,,,Uppper Mount Gravatt,QLD,4122
03431G,"New England School of English, New England College Perth",New England School of English Pty. Ltd.,Private,700,http://www.nec.edu.au,PO BOX 7185,,,,East Brisbane,QLD,4169
03432G,Entrepreneur Education,Entrepreneur Education Pty Ltd,Private,"1,986",www.entrepreneur.edu.au,PO Box 6122,,,,Gold Coast Mail Centre,QLD,9726
03433F,Platinum Institute Australia,Platinum Properties Melbourne Pty Limited,Private,590,www.platinum.edu.au,P O Box 1986,,,,Geelong,VIC,3220
03435D,Paragon Polytechnic,Gateway College of Technology Pty Ltd,Private,"1,400",www.paragon.edu.au,Level 6.02 234-250 Collins Street,,,,MELBOURNE,VIC,3000
03437B,Australian Technical College Western Australia,Perth Technical College Pty Ltd,Private,915,,2-8 Francis Street,,,,Perth,WA,6000
03438A,The Wales Institute,The Wales Institute Pty Ltd,Private,851,,"Level 4, 72 - 82 Mary Street",,,,Surry Hills,NSW,2010
03439M,Mercury Institute of Victoria,Mercury Institute of Victoria Pty Ltd,Private,525,www.mercury.edu.au,"Level 1, 117 Lonsdale Street",,,,Melbourne,VIC,3000
03441F,"Russo Institute of Higher Education, RIHE, Russo Business School",Russo Business School Pty Ltd,Private,250,www.russo.qld.edu.au,GPO Box 2304,,,,Brisbane,QLD,4000
03442E,"Australian Skills Management Institute, Australian Skills Management Institute NSW",Australian Hospitality Skills Recognition Pty Ltd,Private,"1,804",www.asmitraining.edu.au,Office 1 Level 8 269 Wickham St,,,,FORTITUDE VALLEY,QLD,4006
03443D,Global Business College Of Australia Pty Ltd,Global Business College Of Australia Pty Ltd,Private,310,,Level 2 337 La Trobe Street,,,,Melbourne,VIC,3000
03444C,CHOICE BUSINESS COLLEGE,Choice Business College Pty Ltd,Private,"1,135",www.cbc.edu.au,"Level 7, 541 Kent St,",,,,SYDNEY,NSW,2000
03445B,International Institute Australia,International Institute (Aust) Pty Ltd,Private,524,www.intia.com.au,Level 1,398 Lonsdale Street,,,Melbournes,VIC,3000
03446A,Orange College,ORANGE INTERNATIONAL COLLEGE PTY LTD,Private,"1,851",http://orange.edu.au/,PO Box 619,,,,Collins Street West,VIC,8007
03447M,"BCCI, BCC Institute",Bankstown Community College Inc.,Private,348,www.bcci.edu.au,"Level 1, 457 Chapel Road",,,,Bankstown,NSW,2200
03449J,Australian Harbour International College,Australian Harvard International College Pty Ltd,Private,"2,070",http://www.ahic.edu.au,"Level 1, 84-86 Mary Street",,,,SURRY HILLS,NSW,2010
03450E,Dalton College,Global Education Consultant Pty Ltd,Private,596,www.daltoncollege.com.au,"Suite 1 Level 14, 190 Queen St",,,,Melbourne,VIC,3000
03452C,Axial Training Pty Ltd,Axial Training Pty Ltd,Private,145,www.axial.com.au,PO Box 1649,,,,Springwood,QLD,4127
03453B,Flinders International College,Masters In Training Pty Ltd,Private,723,www.flinderscollege.edu.au,"Level 3, 608 St Kilda Road",,,,Melbourne,VIC,3004
03456K,Australian International College,Australian International College Pty Ltd,Private,"1,478",www.aic.nsw.edu.au,"Ground Floor, 38 College Street",,,,Darlinghurst,NSW,2010
03457J,Times Academy Pty Ltd,Times Academy Pty Ltd,Private,"1,938",,Level 4/338 Pitt Street,,,,Sydney,NSW,2000
03459G,Lexis TESOL Training Centres,Lexis Asia Pty Ltd,Private,"1,650",,PO Box 1110,,,,Noosa Heads,QLD,4567
03461B,Australian College of Christianity,Australia Christian College Pty Ltd,Private,259,accu.edu.au,Po. Box 8429,,,,Blacktown,NSW,2148
03464K,Gold Coast Dive Centre & Marine Training College,Compass Rose International College Pty Ltd,Private,308,http://www.goldcoastdivecentre.com.au,2/54-56 Paradise Avenue,,,,MIAMI,QLD,4220
03465J,"The Canberra Training School Pty Ltd, Canberra Business and Technology College",The Canberra Training School Pty. Ltd.,Private,"2,300",http://cbtc.edu.au/,"Unit 1 & 2, 75 Gozzard St",,,,Gungahlin,ACT,2912
03466G,Queensland College of Music Pty Ltd,Queensland College of Music Pty Ltd,Private,30,www.qcm.qld.edu.au,PO Box 8332,,,,Woolloongabba,QLD,4102
03467G,Insight Academy,Insight Academy Pty Ltd,Private,"1,530",,"L2, 399 Lonsdale Street",,,,Melbourne,VIC,3000
03468F,,Macallan College Pty Ltd,Private,"3,360",,Unit 6A 44 Station Rd,,,,YEERONGPILLY,QLD,4105
03469E,Australian Institute of Advanced Studies Pty Ltd,Australian Institute of Advanced Studies Pty Ltd,Private,450,www.aias.edu.au,PO Box 5060,,,,Mount Gravatt East,QLD,4122
03472K,Turner English,Education Hub Pty Ltd,Private,488,,Suite 1.08 2 Queen St,,,,Melbourne,VIC,3000
03473J,Aventia Institute Pty Ltd,Aventia Institute Pty Ltd,Private,310,www.aventia.edu.au,100 Rochedale Road,,,,Rochedale,QLD,4123
03474G,Step Into Training Services (SITS),HCR Constructions Pty Ltd,Private,500,,Unit 9,91 Wembley Rd,,,LOGAN,QLD,4114
03475G,,Site Institute Pty Ltd,Private,630,www.si.edu.au,Office 1 Level 2 52 Merivale St,,,,South Brisbane,QLD,4101
03477E,Victorian Academy Of Commerce and Technology Startups,Vanshraj Enterprises Pty Ltd,Private,400,,171 Sydney Road,,,,Coburg,VIC,3058
03478D,Be Qualified,Astar Training Institute Pty Ltd,Private,450,https://bequalified.edu.au/,Suite 1901 Level 19 233 Castlereagh St,,,,Sydney,NSW,2000
03479C,Australian Institute of Entrepreneurs Pty Ltd,Australian Institute of English Pty Ltd,Private,660,,Suite 1 Level 13,338 Pitt Street,,,Sydney,NSW,2000
03480K,Australasian International Academy Pty Ltd,Australasian International Academy Pty Ltd,Private,480,,"Suite 1, Level 5, 545 Kent St",,,,Sydney,NSW,2000
03481J,Inspire College,Sydney Training Institute Incorporated,Private,20,http://www.inspirecollege.com.au,1A Spire Court,,,,Hoxton Park,NSW,2171
03482G,Atlantis College of Management,Thinkgate Learning Pty Ltd,Private,348,https://www.atlantis.edu.au,"Level 14, 474 Flinder Street",,,,Melbourne,VIC,3030
03483G,Australian Study Link Institute,RTO Connect Pty Ltd,Private,"1,090",www.asli.vic.edu.au,"Level 2, 123 Lonsdale St",,,,Melbourne,VIC,3000
03486D,"AUSTRALIAN ACADEMY OF TRADES, Queensland International Institute of technology",AUSTRALIAN ACADEMY OF TRADES PTY LTD,Private,180,,Level 3,108 Margaret Street,,,Brisbane,QLD,4000
03487C,Kulin Institute,Vocational Training Institute Pty Ltd,Private,"1,005",http://www.vocationalinstitute.com.au,"Level 3 ,190 Queen Street",,,,Melbourne,VIC,3000
03489A,Australian School Of Commerce,M.S Aviation Pty Ltd,Private,"1,210",https://www.asoc.edu.au/,Level 4,123-129 Lonsdale Street,,,Melbourne,VIC,3000
03490G,Melbourne Advanced Commerce Institute (MACI),Llewellyn Projects Pty Ltd,Private,"1,020",,PO Box 106,,,,Glen Waverley,VIC,3150
03496B,Milestones English Academy,Milestone English Academy Pty Ltd,Private,648,www.milestones.vic.edu.au,Level 1,252 Lygon Street,,,Carlton,VIC,3053
03497A,Scots English College,Scots English College Pty Ltd,Private,936,www.scotsenglish.edu.au,"Level 5, 127 Liverpool Street",,,,Sydney,NSW,2000
03499K,Training Australia First,Training Australia First Pty Ltd,Private,140,www.taf.edu.au,1836 Sydney Road,,,,Campbellfield,VIC,3061
03500M,Vibe College,Adore Education Pty Ltd,Private,650,http://www.vibecollege.edu.au,Level 3/288 Edward Street,,,,Brisbane,QLD,4000
03502J,Vocational Careers Institute,NEW YORK COLLEGE PTY. LTD.,Private,930,www.vocareersinstitute.edu.au,1009 Ipswich Road,,,,MOOROOKA,QLD,4105
03503G,,Leaders Institute of Training and Education Pty Ltd,Private,825,www.leaderstraining.com.au,11 Crothers St,,,,BRAYBROOK,VIC,3019
03504G,Sydney International Business College,Sydney International Institute Pty Ltd,Private,955,http://sibc.nsw.edu.au,"Level 5, 307 Pitt Street",,,,SYDNEY,NSW,2000
03505F,Griffin College,GRIFFIN COLLEGE OF MANAGEMENT & TECHNOLOGY PTY. LTD.,Private,560,www.griffin.edu.au,PO Box 4444,,,,EIGHT MILE PLAINS,QLD,4113
03506E,Barton International College,Barton International College Pty Ltd,Private,558,https://barton.nsw.edu.au/,"Level 6, 72 Bathurst Street",,,,Sydney,NSW,2000
03507D,,Australian Global College Pty Ltd,Private,300,www.agc.edu.au,Level 1,127 Castlereagh Street,,,Liverpool,NSW,2170
03509B,NEW ERA INSTITUTE PTY LTD,NEW ERA INSTITUTE PTY LTD,Private,"1,000",www.newerainstitute.edu.au,Suite 13 & 14,100 George St,,,WINDSOR,NSW,2756
03510J,,Training Masters Pty Ltd,Private,600,http://www.tm.nsw.edu.au/,Level 5 338 Pitt Street,,,,SYDNEY,NSW,2000
03512G,The Centre of Excellence,The Centre of Excellence Pty Ltd,Private,"1,450",www.coe.vic.edu.au,126 Yarra St,,,,Geelong,VIC,3220
03513F,College Australia,Real Group Pty Ltd,Private,100,www.collegeaustralia.edu.au,PO Box 1451,,,,Stafford,QLD,4053
03515D,,KKTC EDUCATION PTY LTD,Private,265,https://www.koolkidstrainingcollege.com.au,106 Queen Street,,,,Southport,QLD,4215
03517B,,BRISBANE PROFESSIONAL COLLEGE PTY LTD,Private,400,www.bpc.edu.au,PO Box 108,Kenmore,,,KENMORE,QLD,4069
03519M,Linx Institute Australia,Linx Institute College Pty Ltd,Private,385,www.linx.edu.au,Level 5,127 Liverpool St,,,SYDNEY,NSW,2000
03520G,Frontier Leadership,Frontier Leadership Pty Ltd,Private,"2,185",frontiereducation.edu.au,PO Box 532,,,,Spring Hill,QLD,4004
03521F,Skills Training Australia,Transformations - Pathways to Competence and Developing Excellence Pty Ltd,Private,280,http://skillstraining.edu.au,"Lvls 14 & 15, 459 Little Collins Street",,,,Melbourne,VIC,3000
03522E,Babel International College (WA),Perth Translation and Interpreting Training Pty Ltd,Private,207,,PO Box 685,,,,Victoria Park,WA,6979
03523D,Southern Cross School of Business,Student Development and Learning (SDL) Academy Pty Ltd,Private,840,http://www.scsb.nsw.edu.au,"Suite 603, Level 6",2 Meredith Street,,,Bankstown,NSW,2200
03529J,Mechanical Institute of Training and Technology Pty Ltd,Mechanical Institute of Training and Technology Pty Ltd,Private,"1,370",www.mitt.vic.edu.au,PO Box 699,,,,Heidelberg,VIC,3084
03530E,,The Cairnmillar Institute,Private,50,http://www.cairnmillar.edu.au/,391-393 Tooronga Road,,,,Hawthorn East,VIC,3123
03534A,Momentum Education,Momentum Education Pty Ltd,Private,40,momentum.edu.au,PO Box 7955,,,,Norwest,NSW,2153
03535M,Polytechnic Institute Australia; Australian Polytechnic Institute,Polytechnic Institute Australia Pty Ltd,Private,"3,550",http://www.pia.edu.au/,"Level 16, 233 Castlereagh Street",,,,Sydney,NSW,2000
03537J,"Australian Capital College, Capital College",Australian Capital Group Pty Ltd,Private,"2,053",www.capital.edu.au,GPO Box 1600,,,,Canberra,ACT,2601
03538G,Global Institute,Australian International Training College Pty Ltd,Private,548,www.globalinstitute.edu.au,PO Box K1006,,,,Haymarket,NSW,1240
03540C,Clinton Institute,Clinton Education Pty Ltd,Private,"1,975",,Level 9,313 La Trobe Street,,,Melbourne,VIC,3000
03541B,"Melbourne English, ME English",ECHO Education Technology Pty Ltd,Private,270,www.meenglish.com.au,Level 7,299-305 Sussex Street,,,Sydney,NSW,2000
03542A,Mastery Institute Australia,QIHE PTY LTD,Private,"2,024",http://www.mastery.edu.au,PO Box 15104,,,,City East,QLD,4002
03543M,Knights College,H.C.H INVESTMENTS PTY. LTD.,Private,135,,16D 77-79 Ashley St,,,,Braybrook,VIC,3019
03544K,,Australian Vocational Training Institute Pty Ltd,Private,692,,"Level 5, 338 Pitt Street",,,,Sydney,NSW,2000
03545J,Academy of Entrepreneurs,Academy of Entrepreneurs Pty Ltd,Private,640,,53 Murray Street,,,,Pyrmont,NSW,2009
03546G,Elite Education Vocational Institute,Elite Education Group PTY. LTD.,Private,"1,042",https://vocational.ee.edu.au/,Level 6,8 Quay Street,,,HAYMARKET,NSW,2000
03547G,Anglican Schools Commission International; ASC International; Esperance ACS; Frederick Irwin AS; Georgiana Molloy AS; John Septimus Roe ACS; John Wollston ACS; Peter Carnley ACS; Peter Moyes ACS; St George's AGS; St James AS; St Mark's ACS; Swan Valley AC,The Anglican Schools Commission Incorporated,Private,630,www.ascinternational.wa.edu.au,PO Box 2520,,,,Mount Claremont,WA,6010
03548F,"Skills Australia Institute, Western Australia College lnternational",Excellent Accounts Pty Ltd,Private,"2,240",http://www.skillsaustralia.edu.au/,230 Railway Parade,,,,EastCannington,WA,6107
03549E,,York Business Institute Pty. Ltd.,Private,"2,204",www.york.edu.au,"Suite 2, Lvl 1, 338-348 Pitt Street",,,,Sydney,NSW,2000
03551M,Meridian Vocational College,Golden Wattle Group Pty Ltd,Private,315,,Level 2 West,50 Grenfell Street,,,Adelaide,SA,5000
03552K,Barrington College Australia,BARRINGTON TRAINING SERVICES QUEENSLAND PTY LTD,Private,600,www.barringtoncollege.edu.au,9 Seabank Lane,,,,SOUTHPORT,QLD,4215
03553J,Albright Institute of Business and Language; Albright Institute of English,ANIT Australia Pty Ltd,Private,"6,625",http://www.albrightinstitute.edu.au/,Level 8,341-345 Queen St,,,Melbourne,VIC,3000
03554G,Sydney Art School,Sydney Art School Pty Ltd,Private,96,http://sydneyartschool.com.au,63 Hunter Street,,,,HORNSBY,NSW,2077
03555G,Swann College,Swann International Pty Ltd,Private,"1,215",,"Level 3, East Wing, 132 Franklin Street",,,,Adelaide,SA,5000
03556F,Trinity Institute (Australia),Crown Education Pty Ltd,Private,"3,520",www.trinityinstitute.edu.au,"Level 1, 43 Hunter Street",,,,PARRAMATTA,NSW,2150
03558D,Roseville College,Anglican Schools Corporation,Private,20,www.rosevillecollege.com,Locked Bag 34,,,,Roseville,NSW,2069
03559C,St Peters International College,Angel Education Group Pty Ltd ATF Angel Education Group Unit Trust,Private,260,,"Level 1, 8 Short Street Southport",,,,SOUTHPORT,QLD,4215
03562G,VIA Education,CACHET TRAINING PTY LIMITED,Private,"1,920",www.via.edu.au,"Level 5, 565 George Street",,,,SYDNEY,NSW,2000
03564F,Global College Australasia,GLOBAL COLLEGE AUSTRALASIA PTY. LTD.,Private,"2,346",https://www.globalcollege.edu.au,21 Moore Street,,,,East Perth,WA,6004
03565E,Salisbury College Australia,INSTITUTE OF GLOBAL EDUCATION AND TRAINING PTY. LTD.,Private,"1,074",,"Lvls 4 & 5, 14 Railway Parade",,,,Burwood,NSW,2134
03566D,,Lennox Institute Pty Ltd,Private,980,www.lennoxcollege.edu.au,487-489 King Street,,,,WEST MELBOURNE,VIC,3003
03567C,Engineering Institute of Technology Pty Ltd,Engineering Institute of Technology Pty Ltd,Private,950,www.eit.edu.au,Po Box 1093,,,,West Perth,WA,6872
03568B,Gold Coast International College,GOLD COAST INTERNATIONAL COLLEGE PTY. LTD.,Private,610,,1/A 156 Paradise Ave,,,,MIAMI,QLD,4220
03569A,Australis College,Australis College Pty Ltd,Private,"1,070",,Unit 505 410 Elizabeth St,,,,SURRY HILLS,NSW,2010
03571G,Institute of Business and Management Australia (IBMA),IBMA Education Pty Ltd,Private,851,www.ibma.edu.au,Suite 106,420 Pitt Street,,,Haymarket,NSW,2000
03572F,,Gen Institute Pty Ltd,Private,"1,300",www.gen.edu.au,Level B,416-420 Collins St,,,Melbourne,VIC,3000
03574D,,Beauty Therapy Training Australia Pty Ltd,Private,120,www.techedgecollege.com.au,7/269 Wickham Street,,,,FORTITUDE VALLEY,QLD,4006
03575C,Nurse Training Australia,Care Plus Training Pty Ltd,Private,550,www.nursetrainingaustralia.com.au,"Suite 106-108,",3 Railway Parade,,,BURWOOD,NSW,2134
03576B,KCA Education,Learning Lab Pty Ltd,Private,"1,485",,269 Sussex Street,,,,SYDNEY,NSW,2000
03578M,Lyons College,Lyons Education Group Pty Ltd,Private,"1,090",www.lyons.edu.au,"Level 4, 303 Collins Street",,,,Melbourne,VIC,3000
03579K,Unity School of Education,Unity School Pty Ltd,Private,820,www.ued.edu.au,245 Main Road,,,,DERWENT PARK,TAS,7009
03580F,Gamma Education & Training Pty Ltd,Gamma Education & Training Pty Ltd,Private,"4,000",https://gamma.edu.au/,"Ground Floor, 252 St Pauls Terrace",,,,Fortitude Valley,QLD,4006
03581E,Ikon Institute of Australia,Proteus Technologies Pty Ltd,Private,"9,080",www.ikon.edu.au,Level 3 1-59 Quay St,,,,Haymarket,NSW,2000
03586M,Mindroom Innovation PTY LTD,Mindroom Innovation PTY LTD,Private,994,www.mindroom.edu.au,1/37 Connor Street,,,,Burleigh Heads,QLD,4220
03587K,Enhance College of Technology,ALBURY COLLEGE PTY LTD,Private,821,http://enhance.edu.au,"Level 2, 12-14 Wentworth Street",,,,Parramatta,NSW,2150
03588J,,SKILLSET TRAINING PTY. LTD.,Private,140,,Unit 14,44-56 Hampsted Rd,,,MAIDSTONE,VIC,3012
03589G,Mayfair College Pty Ltd,Mayfair College Pty Ltd,Private,77,www.mayfaircollege.com.au,GPO Box 2866,,,,Brisbane,QLD,4001
03590D,National Institute of Education and Technology,AUSTRALIA ACADEMY INTERNATIONAL PTY LTD,Private,"2,250",www.niet.edu.au,"Brisbane Technology Park, 7 Clunies Ross Court",,,,Eight Mile Plains,QLD,4113
03591C,,SUPERIOR TRAINING CENTRE PTY LTD,Private,700,www.stc.nsw.edu.au,"Unit 1, 13 York Road",,,,Ingleburn,NSW,2565
03592B,Melbourne City College Australia,Melbourne City College Pty Ltd,Private,531,www.melbournecitycollege.edu.au,"Level 9, 120 Spencer St",,,,Melbourne,VIC,3000
03594M,International Institute of Planning and Management,IIPM Pty Ltd,Private,745,www.iipm.edu.au,"Level 5, 440 Elizabeth Street",,,,Melbourne,VIC,3000
03595K,AUSTRALIAN HEALTH AND MANAGEMENT INSTITUTE PTY LTD,AUSTRALIAN HEALTH AND MANAGEMENT INSTITUTE PTY LTD,Private,"1,500",www.ahmi.edu.au,87 Fennell Street,,,,NORTH PARRAMATTA,NSW,2151
03596J,Hawk Institute,ST ALBANS INSTITUTE PTY LTD,Private,702,www.hawkinstitute.edu.au,"Level 4, 171 La Trobe St, Melbourne",,,,Melbourne,VIC,3000
03597G,"Acquire Training Solutions Pty Ltd, Laneway International College",LANEWAY EDUCATION PTY LTD,Private,"2,366",www.laneway.edu.au,Level 7,11-31 York Street,,,SYDNEY,NSW,2000
03598G,NEWTON COLLEGE,NEWTON COLLEGE PTY. LTD.,Private,"1,815",www.newton.edu.au,"Level 10, 190 Queen Street",,,,MELBOURNE,VIC,3000
03600G,Study Play Care,Study Play Care Pty Ltd,Private,686,,"Level 5, 138 Albert St",,,,Brisbane,QLD,4000
03601F,Wall Street College,Wall Street College Pty Ltd,Private,200,,"Level 4, 20 Queen St",,,,Melbourne,VIC,3000
03602E,Southern Academy of Business and Technology,Australian Training School Pty Ltd,Private,"1,489",www.sabt.edu.au,PO Box A819,,,,Sydney South,NSW,1235
03603D,Collins Institute of Australia,Collins Institute of Australia Pty Ltd,Private,420,,Level 6,127 Liverpool Street,,,Sydney,NSW,2000
03604C,The Peach Institute; Peach Institute,Bryan Peach Institute Pty Ltd,Private,"1,440",http://www.peachinstitute.com,"Level 4, 33 Scarborough St",,,,SOUTHPORT,QLD,4215
03605B,College of English Education and Training Australia,Australian Frontline Training College Pty Ltd,Private,120,www.ceetacollege.qld.edu.au,"Level 1, 360 St Pauls Terrace",,,,Fortitude Valley,QLD,4006
03606A,Sacred Heart International College,Angel Investments Group Pty Ltd,Private,"1,100",,"Level 3, 271-281 Bourke St",,,,Melbourne,VIC,3000
03609J,DARWIN INSTITUTE OF TRADE,TRAINING ORGANISATION NSW PTY LTD,Private,660,,"Level 6, 460 Church St",,,,Parramatta,NSW,2150
03610E,,Australia Institute of Business & Technology - International Pty Ltd,Private,"1,750",,18 Mt Gravatt-Capalaba Rd,,,,UPPER MOUNT GRAVATT,QLD,4122
03611D,,Zoi Education Pty Ltd,Private,"1,010",www.zoi.vic.edu.au,48 Flemington Rd,,,,Parkville,VIC,3052
03613B,SOUTHERN ACADEMY OF ENGLISH LEARNING,Southern English College Pty Ltd,Private,426,www.sec.sabt.edu.au,PO Box A819,,,,SYDNEY SOUTH,NSW,1235
03614A,AAAR INSTITUTE OF BUSINESS AND TECHNOLOGY,RANSFORD COLLEGE PTY LTD,Private,"1,600",,"Level 1, 16-22 Wentworth Ave",,,,Surry Hills,NSW,2010
03617J,,Level Up Education & Training Academy Pty Ltd,Private,544,,"43-51 Queen St,",Level 1,,,Melbourne,VIC,3000
03618G,Tr4in Right,Pan Bird Pty Ltd,Private,"1,265",,22 Home Rd,,,,POINT COOK,VIC,3030
03620C,,Sydney City College of Management Pty Ltd,Private,"2,330",www.sccm.edu.au,"Level 2, 17-21 Macquarie St",,,,Parramatta,NSW,2150
03621B,LIBERTY CONSTRUCTION COLLEGE,AUSTRALIA LIBERTY COLLEGE PTY LTD,Private,695,,Office 7 197 Murarrie Rd,,,,MURARRIE,QLD,4172
03622A,Rosehill College,AISL PTY LTD,Private,775,http://www.rosehillcollege.edu.au,Levels 2 & 4,616-620 Harris St,,,Ultimo,NSW,2007
03623M,NA,Strategix Training Group Pty Ltd,Private,"1,528",http://www.strategix.com.au,PO Box 7290,,,,Redland Bay,QLD,4165
03628F,Pacific English Institute,Pacific English College Pty Ltd,Private,300,www.pacificenglish.com.au,"Level 2, 91-95 Rawson Street",,,,Auburn,NSW,2144
03629E,Australian Careers Business College,Australian Careers Business College Pty Ltd,Private,40,,149-151 George St,,,,Liverpool,NSW,2170
03630A,Bayside International College,Australian English Colleges Pty. Ltd.,Private,486,,PO Box 7340,,,,Alexandria,NSW,2015
03631M,Melbourne College of Business and Technology,APLUS EDUCATION GROUP Pty. Ltd.,Private,665,,Unit 101,991 Whitehorse Road,,,Box Hill,VIC,3128
03632K,Glen Institute,Five Diamonds Group Pty Ltd,Private,"1,635",,"Suite 3, Level 12, 190 Queen St",,,,MELBOURNE,VIC,3000
03634G,Joan Lawman College,JOAN LAWMAN SCHOOL OF BEAUTY PTY LTD,Private,797,,58 Franklin St,,,,MELBOURNE,VIC,3000
03635G,,Brighton College Pty Ltd,Private,"2,070",www.brighton.edu.au,"Level 23, 343 Albert St",,,,Brisbane City,QLD,4000
03636F,,Lead College Pty Ltd,Private,"3,835",http://www.leadcollege.edu.au,"Level 1, 841 George Street",,,,Haymarket,NSW,2000
03638D,INT Nurse Training,INT Nurse Training Pty Ltd,Private,750,,Shop 5 40 Phillip St,,,,ST MARYS,NSW,2760
03639C,Skyline International College,MG Australia Group Pty Ltd,Private,660,,11-15 Deane St,,,,BURWOOD,NSW,2134
03640K,Axis Institute,Manigram Pty Ltd,Private,"1,770",,18 Finchley Street,,,,Milton,QLD,4064
03642G,"Dolph Business School, Edna Business Institute of Melbourne",DOLPH LEARNING PTY LTD,Private,240,,946 High St,,,,Reservoir,VIC,3073
03644F,Key 2 Learning Pty Ltd,Key 2 Learning Pty Ltd,Private,500,,49 Phillip Ave,,,,Watson,ACT,2602
03645E,,Collins Academy Pty Ltd,Private,"1,140",www.collinsacademy.edu.au,"Level 5, 259 Collins Street",,,,MELBOURNE,VIC,3000
03646D,Australian Design College Pty Ltd,Australian Design College Pty Ltd,Private,760,,"Shop 2, 746 Swanston Street",,,,CARLTON,VIC,3053
03647C,Academy of Education and Innovation Australia,EDUCATION AND INNOVATION GROUP AUSTRALIA PTY LTD,Private,"2,020",,233 Castlereagh Street,,,,Sydney,NSW,2000
03648B,SOUTH SYDNEY COLLEGE (SSC),KNIT GROUP AUSTRALIA PTY LTD,Private,850,,"Suite 208, 11-15 Deane Street",,,,Burwood,NSW,2134
03649A,International College of Victoria,Victorian Education and Training Group Pty Ltd,Private,200,www.icv.edu.au,"Level 1, 541 King Street",,,,West Melbourne,VIC,3003
03650G,"Spencer Technical College, STC College, Spencer Tech College",Spencer Technical College Pty Ltd,Private,300,www.spencertechcollege.edu.au,Level 4/30 Herschel St,,,,Brisbane,QLD,4000
03651G,Australian Training & Qualification College,Akram Kahla Pty Ltd,Private,140,,"Level 5, 16-18 Wentworth St",,,,PARRAMATTA,NSW,2150
03652F,Choice Academic College,Choice Academic College Pty Ltd,Private,"1,000",cacademic.edu.au,"Level 1, 7 Hassall Street",,,,Parramatta,NSW,2150
03653E,Australia Massage and Beauty Institute,NARTEL ENTERPRISES PTY LTD,Private,160,,86 Keppel St,,,,Bathurst,NSW,2795
03655C,,Advocate Training Pty Ltd,Private,90,,PO Box 3220,,,,WAREEMBA,NSW,2046
03656B,,FLY OZ PTY LTD,Private,35,,112 Airport Road,,,,Cowra,NSW,2794
03657A,Kingston Academy of Australia,F & Z EDUCATION PTY LTD,Private,"1,157",www.kingstonacademy.edu.au,"Level 9, 474 Flinders St",,,,Melbourne,VIC,3000
03658M,The Springfield Anglican College,FSAC Ltd,Private,65,www.tsac.qld.edu.au,PO Box 4180,,,,Springfield,QLD,4300
03659K,Austrasia College,Austrasia College Pty Ltd,Private,500,,"Lvl 3, 579 Harris Street",,,,ULTIMO,NSW,2007
03661E,,AUSTRALIAN SMART COLLEGE PTY LTD,Private,350,,7 Greenfield Parade,,,,Bankstown,NSW,2200
03662D,Australian Film Television and Radio School,"Australian Film, Television and Radio School",Private,60,,PO Box 2286,,,,Strawberry Hills,NSW,2012
03663C,Western Sydney University International College Pty Ltd,Western Sydney University International College Pty Ltd,Private,"1,270",,"Level 6, 6 Hassall Street",,,,Parramatta,NSW,2150
03664B,"Victorian College of Education, Victorian College of Education Australia",Tham Training Pty Ltd,Private,405,,Suite 2 & 3,"Level 3, 190 Queen St",,,Melbourne,VIC,3000
03665A,Metro Institute,Australian Professional Education Group Pty Ltd,Private,600,,"Level 4, 770 George Street",,,,HAYMARKET,NSW,2000
03666M,Skilled Up,Skilled Up Pty Ltd,Private,140,www.skilledup.edu.au,59-61 Curzon St,,,,NORTH MELBOURNE,VIC,3051
03667K,le Culinaire Hospitality Institute,Rightway Training and Development Pty Ltd,Private,"1,810",www.leculinaire.edu.au,424 Harris St,,,,ULTIMO,NSW,2007
03668J,Original Campus,Original Campus Pty Ltd,Private,602,,"Shop 207, 673 La Trobe St",,,,Docklands,VIC,3008
03669G,Educare College,Educare Training Institute of Australasia Pty Ltd,Private,"1,300",http://www.educare.edu.au,Suite 3 Level 8,288 Edward St,,,BRISBANE,QLD,4000
03670D,,Harbourside Institute of Australia Pty Ltd,Private,"2,130",www.harbourside.nsw.edu.au,Level 3,616-620 Harris St,,,Ultimo,NSW,2007
03671C,Medicus College,Medical Training and Development Pty Ltd,Private,804,https://medicus.edu.au/,"Suite 1 Level 2, 224-238 George Street",,,,Liverpool,NSW,2170
03672B,,Australian Techno Management College Pty Ltd,Private,"1,464",,Shop 2,161-177 New South Head Rd,,,EDGECLIFF,NSW,2027
03673A,,MELBOURNE EDUCATION INSTITUTE PTY. LTD.,Private,875,,Level 1,310 King Street,,,MELBOURNE,VIC,3000
03674M,Centennial College,Centennial College Pty Ltd,Private,200,,"Level 26, 44 Market Street",,,,SYDNEY,NSW,2000
03675K,Alana Kaye College,Alana Kaye Group Pty Ltd,Private,"1,130",,PO Box 36019,,,,WINNELLIE,NT,0821
03676J,Vardhan Institute of Management and Technology,Australian College of Technical Training Pty Ltd,Private,340,,"Level 2, 376 Victoria St",,,,NORTH MELBOURNE,VIC,3051
